382538,2015-11-08 03:41:28 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0
382537,2015-11-08 03:34:07 +0200,2,4,0,0,0,0,0,0,0,0,0,0,0
382536,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382535,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382534,2015-11-08 03:12:53 +0200,2,5,0,0,0,0,0,0,0,0,0,0,0
382533,2015-11-08 02:50:10 +0200,1,0,0,3,1,0,0,0,0,0,0,0,0
382532,2015-11-08 02:50:00 +0200,2,2,0,0,0,1,0,0,0,0,0,0,0
382531,2015-11-08 02:26:24 +0200,0,2,0,3,0,0,0,0,0,0,0,0,0
382530,2015-11-08 02:22:34 +0200,1,0,0,0,0,0,0,0,0,0,0,0,0
382529,2015-11-08 02:19:47 +0200,2,3,1,0,0,0,0,0,0,0,0,0,0
382528,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382527,2015-11-08 01:52:39 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0
382526,2015-11-08 01:46:25 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0
382525,2015-11-08 01:38:10 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0
382524,2015-11-08 01:32:23 +0200,2,1,0,0,0,0,0,0,0,0,0,0,0
382523,2015-11-08 01:18:53 +0200,1,3,0,0,0,1,0,0,0,0,0,0,0
382522,2015-11-08 01:02:05 +0200,2,4,0,0,0,0,0,0,0,0,0,0,0
382521,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382520,2015-11-08 00:46:54 +0200,0,0,0,3,0,0,0,0,0,0,0,0,0
382519,2015-11-08 00:44:52 +0200,2,2,0,0,0,0,0,0,0,0,0,0,0
382518,2015-11-08 00:28:59 +0200,2,2,1,4,0,0,1,0,0,0,0,0,0
382517,2015-11-08 00:10:42 +0200,2,5,0,0,0,0,0,0,0,0,0,0,0
382516,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382515,2015-11-07 23:48:32 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0,37
382514,2015-11-07 23:43:35 +0200,4,2,0,0,0,0,0,0,0,0,0,0,0,62
382513,2015-11-07 23:06:59 +0200,0,1,0,3,0,0,0,0,0,0,0,0,0,0
382512,2015-11-07 23:03:17 +0200,2,2,0,0,0,1,0,0,0,0,0,0,0,0
382511,2015-11-07 22:49:30 +0200,1,3,0,0,0,0,0,0,0,0,0,0,0,0
382510,2015-11-07 22:39:54 +0200,0,2,0,5,0,0,1,0,0,0,0,0,0,0
382509,2015-11-07 22:38:40 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0,0
382508,2015-11-07 22:29:01 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0,0
382507,2015-11-07 22:17:33 +0200,1,1,0,0,1,0,0,0,0,0,0,0,0,0
382506,2015-11-07 22:04:28 +0200,3,2,0,0,0,0,0,0,0,0,0,0,0,0
382505,2015-11-07 21:33:14 +0200,1,6,0,0,0,0,0,0,0,0,0,0,0,0
382504,2015-11-07 21:31:03 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
382503,2015-11-07 21:28:05 +0200,3,1,0,0,1,0,0,0,0,0,0,0,0,0
382502,2015-11-07 20:58:45 +0200,1,5,1,0,0,0,0,0,0,0,0,0,0,0
382501,2015-11-07 20:44:25 +0200,1,2,0,0,0,0,0,0,0,0,0,0,0,0
382500,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382499,2015-11-07 20:33:19 +0200,1,4,0,0,0,0,0,0,0,0,0,0,0,0
382498,2015-11-07 20:20:48 +0200,1,1,6,10,0,0,0,0,0,0,0,0,0,1
382497,2015-11-07 20:15:31 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0,0
382496,2015-11-07 20:03:04 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0,54
382495,2015-11-07 19:52:13 +0200,2,1,3,0,0,0,1,0,0,0,0,0,0,0
382494,2015-11-07 19:32:49 +0200,2,6,2,1,0,0,2,0,0,0,0,0,0,0
382493,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382492,2015-11-07 19:12:24 +0200,0,2,0,0,0,0,0,0,0,0,0,0,0,0
382491,2015-11-07 19:10:55 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0,0
382490,2015-11-07 19:08:55 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
382489,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382488,2015-11-07 19:07:18 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
382487,2015-11-07 19:04:00 +0200,3,3,2,0,0,0,0,0,0,0,0,0,0,0
382486,2015-11-07 18:46:08 +0200,1,1,0,1,0,0,0,0,0,0,0,0,0,0
382485,2015-11-07 18:29:36 +0200,2,2,1,0,1,0,0,0,0,0,0,0,0,0
382484,2015-11-07 18:07:46 +0200,5,14,9,0,0,0,0,0,0,0,0,0,0,0
382483,2015-11-07 17:15:14 +0200,4,4,12,2,0,0,0,0,0,0,0,0,0,0
382482,2015-11-07 16:39:14 +0200,1,6,0,0,0,0,0,0,0,0,0,0,0,0
382481,2015-11-07 16:29:42 +0200,0,2,0,0,0,0,0,0,0,0,0,0,0,0
382480,2015-11-07 16:23:29 +0200,2,1,0,0,0,0,1,0,0,0,0,0,0,0
382479,2015-11-07 16:09:42 +0200,2,2,0,0,0,0,0,0,0,0,0,0,0,0
382478,2015-11-07 15:48:05 +0200,0,3,0,3,0,0,0,0,0,0,0,0,0,0
382477,2015-11-07 15:42:39 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
382476,2015-11-07 15:41:29 +0200,2,1,0,0,0,0,0,0,0,0,0,0,0,0
382475,2015-11-07 15:27:57 +0200,0,3,0,0,0,0,0,0,0,0,0,0,0,0
382474,2015-11-07 15:22:17 +0200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
382473,2015-11-07 15:21:36 +0200,1,1,2,3,0,0,0,0,8,0,0,0,0,0
382472,2015-11-07 15:18:24 +0200,0,0,2,0,0,0,0,0,0,0,0,0,0,0
382471,2015-11-07 15:15:35 +0200,1,2,4,0,2,0,0,0,0,0,0,0,0,0
382470,2015-11-07 15:02:14 +0200,0,2,0,0,0,0,0,0,0,0,0,0,0,0
382469,2015-11-07 15:00:51 +0200,1,0,1,0,0,0,0,0,0,0,0,0,0,0
382468,2015-11-07 15:00:05 +0200,0,1,0,0,0,0,1,0,0,0,0,0,0,0
